player_name,playerid,fantasy_position,games,IP,H,ER,BB,K,W,L,SV,HD,fantasy_pts,avg_pts_per_game,ERA,WHIP
Wandy Peralta,14295,SP,39,40.5,43,12,19,30,1,1,0,3,71.5,1.83,2.67,1.531
Nick Lodolo,26378,SP,11,55.8,60,30,24,46,3,2,0,0,71.4,6.49,4.84,1.505
Brent Suter,13942,SP,33,47.5,53,26,14,43,1,2,0,3,70.5,2.14,4.93,1.411
Mark Leiter Jr.,15551,RP,33,27.4,31,16,10,33,0,1,4,5,70.2,2.13,5.26,1.496
Cal Quantrill,19312,SP,18,38.7,35,15,12,27,3,1,0,0,70.1,3.89,3.49,1.214
Yennier Cano,25911,RP,39,23.4,23,8,8,27,1,2,1,8,69.2,1.77,3.08,1.325
DL Hall,22207,SP,24,27.5,14,7,24,32,0,0,0,3,68.5,2.85,2.29,1.382
Aaron Civale,19479,SP,15,70.7,92,41,22,54,5,6,0,0,68.10000000000001,4.54,5.22,1.612
Spencer Strider,27498,SP,8,38.3,33,23,20,46,4,2,0,0,65.89999999999999,8.24,5.4,1.384
Tyler Mahle,16358,SP,14,68.9,77,45,29,69,1,8,0,0,65.7,4.69,5.88,1.538
Rhett Lowder,33876,SP,14,63.1,69,37,33,56,3,6,0,0,63.300000000000004,4.52,5.28,1.616
Tatsuya Imai,37124,SP,12,46,41,33,30,60,5,4,0,0,63.00000000000001,5.25,6.46,1.543
Logan Henderson,31475,SP,5,23,18,7,6,30,2,1,0,0,63,12.6,2.74,1.043
Jonathan Bowlan,24607,RP,29,23.6,26,10,6,35,2,0,0,2,61.8,2.13,3.81,1.356
Cole Sulser,15256,SP,32,34.1,43,24,13,37,1,0,2,7,61.300000000000004,1.92,6.33,1.642
Luinder Avila,24452,SP,17,50.5,51,29,31,47,4,3,0,0,60.5,3.56,5.17,1.624
Hunter Brown,25880,SP,6,28.4,23,11,17,35,1,0,0,0,60.2,10.03,3.49,1.408
Mason Fluharty,31553,SP,47,25.7,38,18,16,42,3,0,1,10,60.1,1.28,6.3,2.101
Tyler Holton,26231,SP,38,33,45,15,10,33,1,4,0,9,59,1.55,4.09,1.667
Jimmy Herget,17556,SP,22,19.9,22,9,6,24,0,2,3,5,58.7,2.67,4.07,1.407
Austin Warren,24937,SP,25,32.2,30,13,17,37,1,3,0,0,56.6,2.26,3.63,1.46
José Suarez,19911,SP,28,40.9,51,24,22,48,1,2,1,1,54.7,1.95,5.28,1.785
Robert Gasser,29812,SP,7,34.5,33,18,13,36,1,3,0,0,53.5,7.64,4.7,1.333
