PlayerName,playerid,mlbam_id,fantasy_position,WAR
Ryan Weathers,23796,677960,SP,1.2027
José Soriano,22100,667755,SP,1.2024
Clay Holmes,13649,605280,SP,1.1987
Brandon Woodruff,16162,605540,SP,1.1867
Carmen Mlodzinski,27572,669387,SP,1.1544
Kyle Bradish,24586,680694,SP,1.153
Brandon Young,27819,687064,SP,1.1528
Trey Yesavage,35456,702056,SP,1.1448
Taj Bradley,22543,671737,SP,1.1136
Bryce Miller,29837,682243,SP,1.0642
Framber Valdez,17295,664285,SP,1.0344
Tyler Glasnow,14374,607192,SP,1.0331
Shane Drohan,27814,675660,SP,0.9797
Luis Castillo,15689,622491,SP,0.9778
Andrew Alvarez,29914,674841,SP,0.9612
Matthew Boyd,15440,571510,SP,0.9572
Carlos Rodón,16137,607074,SP,0.9443
Janson Junk,23301,676083,SP,0.9376
Martín Pérez,6902,527048,SP,0.9123
Michael McGreevy,29869,700241,SP,0.9107
Jake Bennett,31959,687562,SP,0.9103
Joey Cantillo,23335,676282,SP,0.9061
Nick Pivetta,15454,601713,SP,0.891
Slade Cecconi,27500,677944,SP,0.8746
Shota Imanaga,33829,684007,SP,0.8705
Kyle Leahy,24763,681517,SP,0.8672
Jack Perkins,31468,678022,SP,0.8661
Aaron Ashby,23550,676879,SP,0.8607
Bradgley Rodriguez,29107,699134,SP,0.8525
Didier Fuentes,30661,800311,SP,0.8445
Sean Manaea,15873,640455,SP,0.8399
Michael Lorenzen,14843,547179,SP,0.8252
Andrew Morris,31891,702193,SP,0.821
Logan Henderson,31475,701656,SP,0.8205
Bryan Hudson,19924,663542,SP,0.8082
Kris Bubic,21455,663460,SP,0.7975
Huascar Brazobán,6107,623211,SP,0.7669
Bubba Chandler,29868,696149,SP,0.7637
David Peterson,20302,656849,SP,0.7577
Tanner Bibee,30134,676440,SP,0.7461
Jakob Junis,13619,596001,SP,0.7368
Emmet Sheehan,29839,686218,SP,0.7367
Peter Lambert,17969,663567,SP,0.7329
Andrew Abbott,29911,671096,SP,0.7284
Will Klein,27787,694361,SP,0.7151
Spencer Miles,31621,693686,SP,0.7018
Christian Scott,30107,681035,SP,0.6923
Yusei Kikuchi,20633,579328,SP,0.6593
Rhett Lowder,33876,695076,SP,0.6576
Jake Irvin,21504,663623,SP,0.6521
Tatsuya Imai,37124,837227,SP,0.6326
Luis Severino,15890,622663,SP,0.6098
Trevor McDonald,26448,686790,SP,0.604
Eury Pérez,27768,691587,SP,0.6023
Hunter Brown,25880,686613,SP,0.6002
