hex,type,flight,r,t,alt_baro,alt_geom,gs,track,baro_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,dst,dir,geom_rate,calc_track,nav_modes,true_heading,dbFlags,ias,tas,mach,wd,ws,oat,tat,track_rate,roll,mag_heading
a6562b,adsb_icao,CSB599  ,N507YV,B752,37000,38100.0,465.3,148.8,0.0,6712,none,A4,1013.6,36992.0,160.31,27.888748,-82.317499,8,186,0.424,2,1.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],78138,0.4,-20.2,151.271,199.1,,,,,,,,,,,,,,,
a92b2b,adsb_icao,PXG690  ,N690ES,C560,1975,2000.0,136.0,71.57,-192.0,3736,none,A2,1015.2,2016.0,,30.460293,-81.816284,9,75,0.345,2,1.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],25255,0.3,-26.8,24.995,297.1,,,,,,,,,,,,,,,
a6ede5,adsb_icao,UAL1225 ,N54570,A21N,24275,25250.0,426.4,134.9,-1984.0,1415,none,A3,1013.6,4992.0,0.0,26.736905,-81.66444,8,186,0.042,2,1.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],129087,0.0,-17.7,212.695,184.0,,,,,,,,,,,,,,,
ac2fea,adsb_icao,SWA1521 ,N8846Q,B38M,7150,7300.0,273.8,127.58,-320.0,3247,none,A3,1013.6,6016.0,135.0,28.805099,-81.554947,8,186,0.367,2,1.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],124067,0.1,-19.4,88.55,185.8,,,,,,,,,,,,,,,
a5449a,adsb_icao,AAL1865 ,N439AN,A21N,9625,9875.0,301.4,53.09,-832.0,2655,none,A3,1014.4,4992.0,,28.264005,-81.515323,8,186,0.082,2,1.0,9,1.0,3,perhour,2.0,3,0.0,0.0,[],[],140121,0.1,-17.6,120.824,183.3,,,,,,,,,,,,,,,
a96fba,adsb_icao,N707MZ  ,N707MZ,GALX,22450,23325.0,418.3,331.9,,7440,none,A2,1014.4,12992.0,,27.474884,-81.484248,8,186,0.249,2,1.0,10,1.0,3,perhour,2.0,2,0.0,0.0,[],[],16931,0.2,-22.3,168.145,181.8,-2304.0,,,,8.0,,,,,,,,,,
a667e8,adsb_icao,SCX3008 ,N5113A,B738,36000,36550.0,419.0,195.36,0.0,4171,none,A3,1013.6,36000.0,206.72,32.690378,-81.453478,8,186,0.021,2,1.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],59228,0.0,-6.9,145.467,358.6,,,,,,,,,,,,,,,
c06a9b,adsb_icao,TSC197  ,C-GOJQ,A21N,35000,36275.0,472.1,359.15,0.0,4623,none,A3,1012.8,35008.0,,27.250702,-81.362316,8,186,0.409,2,1.0,10,4.0,3,perhour,2.0,3,0.0,0.0,[],[],51577,0.1,-14.0,181.342,179.6,0.0,,,350.93,,263.0,452.0,0.776,248.0,69.0,-50.0,-23.0,0.0,-0.18,357.71
a0b820,adsb_icao,UAL519  ,N14533,A21N,3250,3300.0,275.7,128.08,-576.0,1466,none,A3,1015.2,3008.0,0.0,28.674177,-81.357745,8,186,0.423,2,1.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],127037,0.2,-1.8,95.99,179.1,,,,,,,,,,,,,,,
a35da8,adsb_icao,FFT2520 ,N316FR,A20N,ground,25.0,81.0,179.44,-192.0,3233,none,A3,1014.4,4000.0,186.33,28.434235,-81.322134,8,186,3.389,2,1.0,10,2.0,3,perhour,2.0,3,0.0,0.0,[],[],137362,3.4,-29.5,110.451,178.3,,,,180.0,,,,,,,,,,,
a8496e,adsb_icao,FFT3975 ,N633FR,A21N,ground,,0.0,,,1077,none,A3,,,,28.434247,-81.315402,8,186,4.065,2,,10,2.0,3,perhour,,3,,,[],[],3904,1.0,-30.0,110.462,178.1,,,,157.5,,,,,,,,,,,
a0cb68,adsb_icao,,N150NN,A321,ground,,0.0,,,1566,none,,,,,28.428589,-81.315123,8,186,1.49,2,,9,1.0,3,perhour,,2,,,[],[],174758,1.5,-34.0,110.802,178.1,,,,,,,,,,,,,,,
a6c781,adsb_icao,,N536JB,A320,ground,,0.0,,,2000,none,,,,,28.414421,-81.314542,8,186,6.101,2,,9,1.0,3,perhour,,2,,,[],[],7770,4.1,-30.1,111.654,178.1,,,,,,,,,,,,,,,
a1a3a9,adsb_icao,MX2043  ,N2043J,A21N,ground,,0.0,,,2000,none,A3,,,,28.414055,-81.314489,8,186,1.49,2,,10,2.0,3,perhour,,2,,,[],[],261415,0.6,-28.1,111.676,178.1,,,,,,,,,,,,,,,
a683a8,adsb_icao,JBU1233 ,N519JB,A320,ground,,0.0,,,2000,none,A3,,,,28.414799,-81.314463,8,186,0.423,2,,9,1.0,3,perhour,,2,,,[],[],18708,0.4,-29.1,111.632,178.1,,,,98.44,,,,,,,,,,,
a752ea,adsb_icao,,N571JB,A320,ground,,0.0,,,2000,none,,,,,28.41552,-81.314344,8,186,35.935,2,,10,2.0,3,perhour,,2,1.0,0.0,[],[],348,20.5,-33.7,111.589,178.1,,,,,,,,,,,,,,,
ad4bcb,adsb_icao,.N956JT ,N956JT,A321,ground,,0.0,,,2000,none,A3,,,,28.416229,-81.31408,8,186,2.55,2,,10,1.0,3,perhour,,2,0.0,0.0,[],[],29728,1.1,-26.5,111.547,178.1,,,,,,,,,,,,,,,
a4ce9d,adsb_icao,FFT4190 ,N409FR,A20N,ground,,0.0,,,6663,none,A3,,,,28.435501,-81.313433,8,186,2.959,2,,10,2.0,3,perhour,,3,,,[],[],150871,3.0,-34.0,110.39,178.0,,,,,,,,,,,,,,,
abc5b8,adsb_icao,GTI8028 ,N858GT,B748,31000,31875.0,545.8,9.07,-64.0,7443,none,A5,1013.6,31008.0,11.95,29.727235,-81.191227,8,186,0.209,2,1.0,9,2.0,3,perhour,2.0,2,0.0,0.0,[],[],29402,0.1,-22.6,34.205,162.7,,,,,,,,,,,,,,,
a8a43a,adsb_icao,NKS954  ,N656NK,A320,8675,9050.0,305.8,100.17,-2432.0,7353,none,A3,1014.4,1792.0,,26.134827,-80.903217,8,186,0.042,2,1.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],153084,0.0,-19.1,249.643,174.0,,,,,,,,,,,,,,,
a54261,adsb_icao,N438RV  ,N438RV,LJ45,43000,43825.0,402.2,181.57,0.0,0563,none,A2,,,,30.869813,-80.660083,9,75,0.555,2,1.0,10,2.0,3,perhour,2.0,3,0.0,0.0,[],[],47276,0.3,-16.4,51.929,46.0,,,,,8.0,,,,,,,,,,
ac8289,adsb_icao,,N905JB,A321,ground,,0.0,,,3337,none,,,,,26.685276,-80.089995,8,186,18.741,2,,10,2.0,3,perhour,,2,,,[],[],150394,0.4,-24.0,225.88,162.1,,,,,,,,,,,,,,,
a869bc,adsb_icao,,N641JB,A320,ground,,0.0,,,2000,none,,,,,26.685219,-80.089671,8,186,3.068,2,,9,2.0,3,perhour,,2,,,[],[],377,2.6,-23.0,225.886,162.1,,,,,,,,,,,,,,,
a8b8ba,adsb_icao,,N661JB,A320,ground,,0.0,,,2000,none,,,,,26.685471,-80.088713,8,186,4.873,2,,10,2.0,3,perhour,,2,,,[],[],954,0.8,-27.1,225.889,162.0,,,,,,,,,,,,,,,
ad6b16,adsb_icao,AVA222  ,N964AV,A20N,37050,38225.0,474.0,356.25,0.0,2216,none,A3,1012.8,36992.0,,29.850645,-77.507737,8,186,0.289,2,1.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],26250,0.0,-32.5,203.083,96.2,,,,,,,,,,,,,,,
