game_id,opponent,player_id,season,team,week,stat_gms_active,stat_pos_rank_half_ppr,stat_pos_rank_ppr,stat_pos_rank_std,stat_bonus_fd_wr,stat_bonus_rec_wr,stat_gp,stat_gs,stat_pts_half_ppr,stat_pts_ppr,stat_pts_std,stat_rec,stat_rec_10_19,stat_rec_5_9,stat_rec_air_yd,stat_rec_fd,stat_rec_lng,stat_rec_tgt,stat_rec_yar,stat_rec_yd,stat_rec_ypr,stat_rec_ypt,stat_rush_rec_yd,stat_bonus_fd_te,stat_bonus_rec_te,stat_bonus_rec_rb,stat_fum,stat_fum_lost,stat_pass_rush_yd,stat_rec_0_4,stat_rush_att,stat_rush_lng,stat_rush_yd,stat_rush_ypa,stat_fga,stat_fgm,stat_fgm_30_39,stat_fgm_50_59,stat_fgm_50p,stat_fgm_lng,stat_fgm_pct,stat_fgm_yds,stat_fgm_yds_over_30,stat_kick_pts,stat_xpa,stat_xpm,stat_rush_td_lng,stat_pass_int,stat_pass_air_yd,stat_pass_sack_yds,stat_rush_td,stat_pass_ypc,stat_pass_lng,stat_pass_rtg,stat_rush_fd,stat_pass_int_td,stat_pass_att,stat_pass_rz_att,stat_pass_sack,stat_pass_cmp,stat_cmp_pct,stat_pass_ypa,stat_pass_fd,stat_pass_yd,stat_rush_rz_att,stat_pass_td,stat_anytime_tds,stat_bonus_fd_qb,stat_pass_td_lng,stat_pass_inc,stat_rec_rz_tgt,stat_tm_def_snp,stat_tm_st_snp,stat_tm_off_snp,stat_off_snp,stat_rush_yac,stat_kr_lng,stat_pr,stat_rec_20_29,stat_idp_tkl,stat_kr_ypa,stat_idp_tkl_solo,stat_kr,stat_kr_yd,stat_pr_ypa,stat_pts_idp,stat_pr_lng,stat_pr_yd,stat_sack,stat_qb_hit,stat_def_forced_punts,stat_def_pr_yd,stat_penalty,stat_tkl_ast,stat_def_kr_yd,stat_pts_allow,stat_def_pr,stat_fan_pts_allow_k,stat_def_st_tkl_solo,stat_def_pr_ypa,stat_ff,stat_def_kr_ypa,stat_yds_allow_200_299,stat_pts_allow_14_20,stat_def_pr_lng,stat_int,stat_tkl_solo_misc,stat_yds_allow,stat_fan_pts_allow_def,stat_def_kr,stat_def_kr_lng,stat_penalty_yd,stat_def_3_and_out,stat_fan_pts_allow_qb,stat_fan_pts_allow_wr,stat_tkl_loss,stat_def_pass_def,stat_fan_pts_allow_te,stat_tkl,stat_tkl_solo,stat_fan_pts_allow,stat_td,stat_fan_pts_allow_rb,stat_bonus_rush_rec_yd_100,stat_rush_tkl_loss_yd,stat_bonus_rush_att_20,stat_bonus_fd_rb,stat_rush_tkl_loss,stat_bonus_rush_yd_100,stat_rec_30_39,stat_rec_td,stat_rec_td_lng,stat_bonus_rec_yd_100,stat_first_td,stat_rec_40p,stat_pass_cmp_40p,stat_fgm_20_29,stat_fgm_40_49,stat_fgmiss,stat_fgmiss_50_59,stat_fgmiss_50p,stat_rec_td_40p,stat_sack_yd,stat_def_st_fum_rec,stat_blk_kick,stat_fgm_60p,stat_fg_blkd,stat_pts_allow_21_27,stat_bonus_pass_cmp_25,stat_bonus_pass_yd_300,stat_yds_allow_350_399,stat_int_ret_yd,stat_fum_rec,stat_def_4_and_stop,stat_def_st_ff,stat_st_td,stat_st_tkl_solo,stat_pts_allow_1_6,stat_yds_allow_300_349,stat_fum_ret_yd,stat_bonus_pass_yd_400,stat_pass_2pt,stat_pass_td_40p,stat_fgmiss_40_49,stat_rec_drop,stat_rush_btkl,stat_fgm_0_19,stat_pass_td_50p,stat_rec_2pt,stat_pts_allow_28_34,stat_pts_allow_7_13
202510932,LAR,9757,2025,NO,9,1.0,999.0,999.0,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510932,LAR,7002,2025,NO,9,1.0,7.0,8.0,6.0,,,1.0,,10.6,12.1,9.1,3.0,2.0,1.0,21.0,1.0,12.0,4.0,10.0,31.0,10.33,7.75,31.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510934,TEN,11635,2025,LAC,9,1.0,37.0,34.0,40.0,2.0,4.0,1.0,1.0,7.6,9.6,5.6,4.0,2.0,1.0,19.0,2.0,21.0,7.0,37.0,56.0,14.0,8.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510928,IND,1945,2025,PIT,9,1.0,999.0,999.0,999.0,,,1.0,,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,46.0,100.0,71.0,16.0,9.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510934,LAC,9508,2025,TEN,9,1.0,25.0,25.0,26.0,,,1.0,,7.7,9.2,6.2,3.0,,1.0,1.0,1.0,26.0,3.0,35.0,36.0,12.0,12.0,62.0,,,3.0,,,26.0,1.0,7.0,10.0,26.0,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510904,BUF,4046,2025,KC,9,1.0,20.0,20.0,20.0,,,1.0,1.0,11.5,11.5,11.5,,,,,,,,,,,,5.0,,,,,,255.0,,1.0,5.0,5.0,5.0,,,,,,,,,,,,,,1.0,186.0,24.0,,16.67,40.0,57.2,,,34.0,2.0,3.0,15.0,44.12,7.35,10.0,250.0,1.0,,,10.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
202510919,MIA,5012,2025,BAL,9,1.0,5.0,5.0,5.0,,,1.0,,15.6,16.6,14.6,2.0,,,17.0,,20.0,3.0,5.0,22.0,11.0,7.33,26.0,2.0,2.0,,,,4.0,1.0,2.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,2.0,,,,1.0,64.0,24.0,56.0,28.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,20.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510907,CHI,6801,2025,CIN,9,1.0,2.0,2.0,2.0,4.0,7.0,1.0,1.0,29.6,33.1,26.1,7.0,2.0,1.0,96.0,4.0,44.0,9.0,25.0,121.0,17.29,13.44,121.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,44.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
202510912,GB,7021,2025,CAR,9,1.0,2.0,2.0,2.0,,,1.0,1.0,27.1,28.1,26.1,2.0,,1.0,,1.0,8.0,3.0,11.0,11.0,5.5,3.67,141.0,,,2.0,,,130.0,1.0,25.0,29.0,130.0,5.2,,,,,,,,,,,,,5.0,,,,2.0,,,,5.0,,,,,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,1.0,-2.0,1.0,6.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510923,SF,8126,2025,NYG,9,1.0,29.0,25.0,44.0,1.0,9.0,1.0,1.0,9.1,13.6,4.6,9.0,,6.0,33.0,1.0,9.0,11.0,13.0,46.0,5.11,4.18,46.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510904,KC,8134,2025,BUF,9,1.0,36.0,30.0,47.0,3.0,7.0,1.0,1.0,7.8,11.3,4.3,7.0,,2.0,-11.0,3.0,20.0,8.0,54.0,43.0,6.14,5.38,43.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,7.0,,11.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510912,CAR,9484,2025,GB,9,1.0,35.0,34.0,36.0,,,1.0,1.0,3.0,4.0,2.0,2.0,2.0,,12.0,1.0,10.0,3.0,8.0,20.0,10.0,6.67,20.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510932,NO,LAR,2025,LAR,9,,999.0,999.0,999.0,,,1.0,,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,11.0,3.0,19.0,,10.0,2.0,4.0,1.0,5.5,1.0,,1.0,,11.0,1.0,,224.0,1.0,,,32.0,4.0,10.24,24.1,2.0,5.0,15.1,38.0,19.0,56.34,5.0,2.9,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,7.0,1.0,2.0,,,,,,,,,,,,,,,,,1.0
202510907,CIN,4983,2025,CHI,9,1.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,20.98,22.98,18.98,4.0,3.0,,41.0,4.0,23.0,6.0,31.0,72.0,18.0,12.0,89.0,,,,,,19.0,,1.0,17.0,17.0,17.0,,,,,,,,,,,,,17.0,,2.0,,1.0,2.0,2.0,118.8,,,1.0,1.0,,1.0,100.0,2.0,,2.0,1.0,1.0,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510928,PIT,IND,2025,IND,9,,999.0,999.0,999.0,,,1.0,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,5.0,23.0,5.0,32.0,100.0,27.0,3.0,10.0,4.0,7.67,1.0,25.0,1.0,,12.0,,3.0,225.0,19.0,4.0,27.0,53.0,4.0,12.12,12.6,6.0,3.0,25.9,62.0,30.0,87.22,2.0,26.6,,,,,,,,,,,,,,,,,,,,16.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
