game_id,opponent,player_id,season,team,week,proj_adp_dd_ppr,proj_bonus_rec_wr,proj_def_fum_td,proj_fum,proj_fum_lost,proj_gp,proj_pos_adp_dd_ppr,proj_pts_half_ppr,proj_pts_ppr,proj_pts_std,proj_rec,proj_rec_0_4,proj_rec_10_19,proj_rec_20_29,proj_rec_2pt,proj_rec_30_39,proj_rec_40p,proj_rec_5_9,proj_rec_fd,proj_rec_td,proj_rec_tgt,proj_rec_yd,proj_rush_40p,proj_rush_att,proj_rush_fd,proj_rush_td,proj_rush_yd,proj_bonus_rec_rb,proj_rush_2pt,proj_bonus_rec_te,proj_fga,proj_fgm,proj_fgm_20_29,proj_fgm_30_39,proj_fgm_40_49,proj_fgm_50p,proj_fgm_yds,proj_fgmiss_50p,proj_xpa,proj_xpm,proj_xpmiss,proj_cmp_pct,proj_pass_2pt,proj_pass_att,proj_pass_cmp,proj_pass_cmp_40p,proj_pass_fd,proj_pass_inc,proj_pass_int,proj_pass_int_td,proj_pass_sack,proj_pass_td,proj_pass_yd,proj_def_kr_yd,proj_pr,proj_pr_yd,proj_blk_kick,proj_def_pr_yd,proj_def_td,proj_ff,proj_fum_rec,proj_int,proj_pts_allow,proj_pts_allow_14_20,proj_sack,proj_tkl_loss,proj_yds_allow,proj_yds_allow_200_299,proj_pr_td,proj_fgmiss_30_39,proj_fgmiss_40_49,proj_safe,proj_yds_allow_300_349,proj_pts_allow_21_27,proj_yds_allow_350_399,proj_fgm_0_19,proj_def_kr_td,proj_def_pr_td,proj_st_td
202510925,JAX,10213,2025,LV,9,102.0,3.01,0.0,0.04,0.02,1.0,43.0,7.95,9.46,6.44,3.01,0.6,0.9,0.6,0.01,0.3,0.3,0.6,4.22,0.3,4.87,42.17,0.0,0.59,0.32,0.02,3.16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,15.52,0.73,6.82,,,,,,,,,,,,,,,,,,,,,,,
202510912,CAR,GB,2025,GB,9,999.0,,0.13,,,1.0,999.0,8.24,8.24,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,50.71,,17.56,0.06,68.27,0.19,1.02,0.64,0.83,15.25,1.0,3.0,5.43,287.38,1.0,,,,,,,,,,,
202510904,BUF,10229,2025,KC,9,12.0,6.76,0.0,0.1,0.04,1.0,6.0,15.42,18.81,12.04,6.76,1.35,2.03,1.35,0.02,0.68,0.68,1.35,7.52,0.74,8.76,75.23,0.0,0.21,0.1,0.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510932,LAR,8676,2025,NO,9,76.0,3.7,0.0,0.11,0.05,1.0,35.0,9.26,11.11,7.41,3.7,0.74,1.11,0.74,0.01,0.37,0.37,0.74,5.22,0.34,6.54,52.2,0.0,0.36,0.17,0.01,1.74,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,19.91,1.22,13.83,,,,,,,,,,,,,0.06,,,,,,,,,,
202510904,KC,10236,2025,BUF,9,90.0,,0.0,0.07,0.03,1.0,10.0,8.69,10.78,6.61,4.17,0.83,1.25,0.83,0.01,0.42,0.42,0.83,4.5,0.36,5.6,44.97,,,,,,,,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510921,ATL,11564,2025,NE,9,38.0,,0.01,0.65,0.28,1.0,4.0,23.53,23.53,23.53,,,,,,,,,,,,,0.02,5.56,3.43,0.2,34.3,,0.01,,,,,,,,,,,,,69.92,0.06,31.94,22.34,0.3,25.45,9.61,0.77,0.03,2.46,1.9,254.55,,,,,,,,,,,,,,,,,,,,,,,,,,
202510925,LV,11631,2025,JAX,9,41.0,4.41,0.0,0.05,0.02,1.0,22.0,11.69,13.89,9.49,4.41,0.88,1.32,0.88,0.01,0.44,0.44,0.88,6.83,0.44,7.72,68.35,0.0,0.03,0.01,0.0,0.14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510913,DEN,12474,2025,HOU,9,79.0,,0.0,0.15,0.07,1.0,27.0,9.65,10.77,8.53,2.24,0.45,0.67,0.45,0.0,0.22,0.22,0.45,2.24,0.18,3.17,22.36,0.04,10.58,3.69,0.27,36.94,2.24,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510913,HOU,12489,2025,DEN,9,150.0,,0.0,0.08,0.04,1.0,41.0,5.92,6.69,5.14,1.56,0.31,0.47,0.31,0.0,0.16,0.16,0.31,1.13,0.15,1.96,11.32,0.03,5.76,2.32,0.14,23.25,1.56,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510912,CAR,12501,2025,GB,9,144.0,2.44,0.0,0.03,0.01,1.0,61.0,6.09,7.31,4.87,2.44,0.49,0.73,0.49,0.01,0.24,0.24,0.49,3.11,0.18,3.39,31.08,0.0,0.92,0.51,0.03,5.06,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510913,DEN,3451,2025,HOU,9,999.0,,,,,1.0,999.0,8.86,8.86,8.86,,,,,,,,,,,,,,,,,,,,,2.14,1.83,0.43,0.55,0.49,0.37,76.16,0.12,2.38,2.26,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.12,,,,,,,,
202510907,CHI,9224,2025,CIN,9,49.0,,0.0,0.15,0.06,1.0,16.0,11.63,13.05,10.2,2.85,0.57,0.85,0.57,0.0,0.28,0.28,0.57,1.99,0.24,3.38,19.85,0.05,11.25,5.19,0.28,51.92,2.85,0.02,,,,,,,,,,,,,,,,,,,,,,,,,3.63,,,,,,,,,,,,,,,,,,,,,,,,,
202510935,WAS,9753,2025,SEA,9,69.0,,0.0,0.14,0.06,1.0,24.0,10.32,11.1,9.54,1.56,0.31,0.47,0.31,0.0,0.16,0.16,0.31,1.31,0.11,1.94,13.13,0.04,10.38,4.13,0.59,41.26,1.56,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510919,MIA,9997,2025,BAL,9,27.0,5.2,0.0,0.08,0.03,1.0,11.0,12.73,15.33,10.13,5.2,1.04,1.56,1.04,0.01,0.52,0.52,1.04,7.1,0.45,7.53,71.03,0.0,0.56,0.3,0.02,3.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510913,DEN,HOU,2025,HOU,9,999.0,,0.05,,,1.0,999.0,7.19,7.19,7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,39.48,,15.68,0.05,55.16,0.16,0.92,0.54,0.76,19.5,1.0,2.49,4.92,321.25,,,,,0.05,1.0,,,,,,
202510911,MIN,10859,2025,DET,9,67.0,,0.0,0.07,0.03,1.0,7.0,10.12,12.32,7.93,4.39,0.88,1.32,0.88,0.01,0.44,0.44,0.88,5.22,0.45,5.75,52.21,,0.03,0.01,0.0,0.12,,,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
