date,equity_A,equity_B,equity_C,bear_exit,bnh
2025-06-02,1.0,1.0,1.0,1.0083122515359595,1.0
2025-06-03,1.0058542413381124,1.0058542413381124,1.0058542413381124,1.0142151548006264,1.0058542413381124
2025-06-04,1.0054958183990443,1.0054958183990441,1.0054958183990441,1.0138537525599325,1.0054958183990443
2025-06-05,1.0006144393241168,1.0006144393241168,1.0006144393241168,1.0089317982342918,1.0006144393241168
2025-06-06,1.0107697559310465,1.0107697559310462,1.0107697559310462,1.0191715283872855,1.0107697559310465
2025-06-09,1.0116743471582184,1.0116743471582181,1.0116743471582181,1.0200836388042749,1.0116743471582181
2025-06-10,1.0175797917733402,1.0175797917733402,1.0175797917733402,1.0260381709604696,1.0175797917733402
2025-06-11,1.0147806792968084,1.0147806792968082,1.0147806792968082,1.023215791556955,1.0147806792968084
2025-06-12,1.018689196108551,1.018689196108551,1.018689196108551,1.0271567969435695,1.0186891961085511
2025-06-13,1.0072708653353815,1.0072708653353812,1.0072708653353812,1.0156435541328923,1.0072708653353815
2025-06-16,1.0169824202082267,1.0169824202082267,1.0169824202082267,1.0254358338926464,1.0169824202082267
2025-06-17,1.0082778631165727,1.0082778631165727,1.0082778631165727,1.0166589223329374,1.0082778631165727
2025-06-18,1.0081242532855434,1.0081242532855437,1.0081242532855437,1.0165040356583543,1.0081242532855437
2025-06-20,1.0056323604710702,1.0056323604710702,1.0056323604710702,1.0139914296040065,1.0056323604710702
2025-06-23,1.0156169994879671,1.0156169994879671,1.0156169994879671,1.0240590634519076,1.0156169994879671
2025-06-24,1.0268646526711043,1.0268646526711043,1.0268646526711043,1.0354002099574922,1.0268646526711043
2025-06-25,1.0273937532002049,1.0273937532002049,1.0273937532002049,1.0359337085032785,1.0273937532002049
2025-06-26,1.0355180064857485,1.0355180064857485,1.0355180064857485,1.0441254926256731,1.0355180064857485
2025-06-27,1.0405529953917052,1.040552995391705,1.040552995391705,1.0492023336258969,1.040552995391705
2025-06-30,1.0456562553336746,1.0456562553336746,1.0456562553336746,1.0543480131481575,1.0456562553336748
2025-07-01,1.0451271548045742,1.0451271548045742,1.0451271548045742,1.0538145146023714,1.0451271548045742
2025-07-02,1.0499061273254822,1.049906127325482,1.049906127325482,1.0586332111449566,1.0499061273254822
2025-07-03,1.0579279740570064,1.0579279740570062,1.0579279740570062,1.066721737484296,1.0579279740570064
2025-07-07,1.0505717699266086,1.0505717699266086,1.0505717699266086,1.0593043867348166,1.0505717699266086
2025-07-08,1.049769585253456,1.049769585253456,1.049769585253456,1.0584955341008826,1.049769585253456
2025-07-09,1.0560675883256527,1.0560675883256527,1.0560675883256527,1.0648458877587896,1.056067588325653
2025-07-10,1.0591397849462365,1.0591397849462365,1.0591397849462365,1.0679436212504516,1.0591397849462365
2025-07-11,1.05536781020652,1.0553678102065198,1.0553678102065198,1.0641402929079111,1.05536781020652
2025-07-14,1.057279399214883,1.0572793992148832,1.0572793992148832,1.0660677715249454,1.0572793992148832
2025-07-15,1.05284178187404,1.0528417818740399,1.0528417818740399,1.0615932675925448,1.05284178187404
2025-07-16,1.0563236047107016,1.0563236047107014,1.0563236047107014,1.0651040322164282,1.0563236047107014
2025-07-17,1.062758149854924,1.062758149854924,1.062758149854924,1.071592062918409,1.0627581498549241
2025-07-18,1.0620754394947942,1.0620754394947942,1.0620754394947942,1.0709036776980396,1.0620754394947944
2025-07-21,1.0640723672981738,1.0640723672981738,1.0640723672981738,1.07291720446762,1.0640723672981738
2025-07-22,1.0641918416111964,1.0641918416111964,1.0641918416111964,1.0730376718811847,1.0641918416111964
2025-07-23,1.073220686123912,1.0732206861239117,1.0732206861239117,1.0821415664205687,1.073220686123912
2025-07-24,1.0736644478579962,1.0736644478579962,1.0736644478579962,1.0825890168138088,1.0736644478579962
2025-07-25,1.0780679296808329,1.0780679296808329,1.0780679296808329,1.087029101485191,1.0780679296808329
2025-07-28,1.077880184331797,1.077880184331797,1.077880184331797,1.0868397955495894,1.0778801843317973
2025-07-29,1.075046936337259,1.0750469363372588,1.0750469363372588,1.0839829968850567,1.075046936337259
2025-07-30,1.0737668544120158,1.0737668544120156,1.0737668544120156,1.0826922745968643,1.0737668544120158
2025-07-31,1.069499914661205,1.069499914661205,1.069499914661205,1.0783898669695562,1.069499914661205
2025-08-01,1.0521420037549072,1.052142003754907,1.052142003754907,1.0608876727416665,1.0521420037549072
2025-08-04,1.0633275567503861,1.058637884291448,1.058637884291448,1.0674375486711745,1.068015019627923
2025-08-05,1.0574985628113254,1.052250266045368,1.052250266045368,1.0609968349355174,1.0627922853729306
2025-08-06,1.0653615738534434,1.0600742534737677,1.0600742534737677,1.068885857315436,1.070694657791432
2025-08-07,1.0647332122798834,1.0594490104179344,1.0594490104179344,1.0682554170820515,1.070063150708312
2025-08-08,1.0728849299909342,1.0675602716827977,1.0675602716827977,1.0764341011908225,1.0782556750298686
