date,rate
2026-05-22,159.15
2026-05-25,158.93
2026-05-26,159.21
2026-05-27,159.42
2026-05-28,159.46
2026-05-29,159.27
2026-06-01,159.49
2026-06-02,159.75
2026-06-03,159.86
2026-06-04,159.8
2026-06-05,159.86
2026-06-08,159.97
2026-06-09,160.16
2026-06-10,160.49
2026-06-11,160.54
2026-06-12,160.2
2026-06-15,160.19
2026-06-16,160.38
2026-06-17,160.31
2026-06-18,160.93
2026-06-19,161.23
2026-06-22,161.78
