date,rate
2026-05-22,1.3417
2026-05-25,1.3498
2026-05-26,1.3469
2026-05-27,1.3435
2026-05-28,1.3404
2026-05-29,1.3427
2026-06-01,1.3465
2026-06-02,1.3473
2026-06-03,1.3447
2026-06-04,1.3458
2026-06-05,1.3467
2026-06-08,1.3363
2026-06-09,1.3404
2026-06-10,1.3382
2026-06-11,1.3364
2026-06-12,1.3402
2026-06-15,1.3421
2026-06-16,1.3408
2026-06-17,1.3406
2026-06-18,1.3229
2026-06-19,1.3233
2026-06-22,1.3249
