time,matchup
8:00 pm ET @ Gainbridge Fieldhouse,Cleveland Cavaliers (1-2) @ Indiana Pacers (2-1)
3:30 pm ET @ Ball Arena,Oklahoma City Thunder (1-2) @ Denver Nuggets (2-1)
