date,cvd_total,cvd_normalized,cvd_first_hour,cvd_last_hour,cvd_direction_flip,large_cvd_total,large_cvd_ratio,cvd_z21,large_cvd_z21,cvd_momentum_ratio,cvd_peak_hour,buy_intensity,sell_intensity,intensity_ratio
2021-01-04,10871576.0,0.11968169592142515,0.07432430013808852,0.16062794680073467,0,7276314.0,0.6692970733957984,,,0.970692876657768,15,84.02757380884715,66.06432126263194,0.7862219301121379
2021-01-05,-3968223.0,-0.07540985986659476,-0.20309351257856775,-0.03193239058006715,0,-5297216.0,1.3349088496286625,-0.7071067811865475,-0.7071067811865476,-0.7474189705205516,10,75.8006312844114,88.16527748782457,1.1631206230594546
2021-01-06,-10507531.0,-0.11484056498877528,-0.01347608483096982,-0.13457749898834676,0,-9711872.0,0.9242772636121654,-0.7271895969905144,-0.6030068055278897,-0.9559135256284775,12,73.7801003908136,92.9245574878611,1.2594799545628048
2021-01-07,-8735066.0,-0.150070542070975,-0.07340880769335566,-0.1106488955602759,0,-9061083.0,1.0373227861128926,-0.787742988816388,-0.8222672037305435,-0.9598091115431624,12,70.94067930285848,95.99242000567854,1.3531364648464907
2021-01-08,-3513094.0,-0.05872097864743046,-0.11883194059492673,-0.013754277628032042,0,-4302660.0,1.2247494658554539,-0.02730043883920103,-0.011818699778791828,-0.9452887023766882,12,74.77262213629979,84.10188890688775,1.124768484828338
2021-01-11,2393126.0,0.05412429622330007,0.08973865625527007,0.12528707923512564,0,2326791.0,0.9722810249021573,0.8849698204496487,1.0868192789489288,0.2458205175656424,11,73.71426854303274,66.14451055376838,0.8973094607206838
2021-01-12,526617.0,0.01169630556817901,0.06537695350933287,-0.193743261057401,1,168462.0,0.31989472424931215,0.43792766196631766,0.5213631741734622,0.722097278391493,10,74.28914338276067,72.5714173880709,0.9768778327966509
2021-01-13,-5089920.0,-0.1336311946842828,0.00020726476037035132,-0.15060648121378686,1,-3482302.0,0.6841565289827738,-0.9362266805355245,-0.5088737442812871,-0.9666544010092724,10,60.720247448782445,79.45157562754616,1.308485702311467
2021-01-14,2772371.0,0.06908452060201246,-0.04535000725126593,0.22102408911354052,1,2080243.0,0.7503479873364712,1.0239745698137797,1.0456964366752346,-0.36255570221903904,15,81.54230258981484,71.00373286096043,0.8707594782812677
2021-01-15,6322315.0,0.09764864601421933,0.14722818799600193,0.07691283343629751,0,5975663.0,0.9451700840593992,1.1496423420602704,1.2921644598985433,0.860077377160553,10,88.33089971711387,72.61477272162314,0.8220766793293993
2021-01-19,-3787909.0,-0.09116753787749604,-0.01878692326715664,-0.22586334437242847,0,-3727965.0,0.9841749102209161,-0.6784527657109076,-0.6736607297767934,-0.6383842377995853,12,67.1458927542623,80.61707908644101,1.2006256195219562
2021-01-20,-9334762.0,-0.17746278138928973,-0.3438096794834992,-0.07344517506889266,0,-9848413.0,1.0550256128651165,-1.3555571948172414,-1.5076365257435795,-0.7818994524508214,10,76.49822132011288,109.50727384597975,1.431500915396946
2021-01-21,-2222616.0,-0.053938100978018426,0.05351925630810093,-0.07090688143456265,1,-1255573.0,0.5649077483469929,-0.15396786240061014,0.1318333993733638,-0.6756711076335502,11,82.64051198561896,92.06372686186225,1.1140265790933521
2021-01-22,4496383.0,0.11720851043774615,0.2150522696317024,0.02318488845748635,0,5696201.0,1.266840702849379,1.3939012974286753,1.7469731299052702,0.9430596475599946,10,92.07723905608168,72.75723579052301,0.7901761231807636
2021-01-26,557403.0,0.01535778613662256,-0.003946699957358668,-0.05822403642263938,0,479403.0,0.8600653387226118,0.39779291137798467,0.3989915815073931,0.7737931698678098,13,72.12426264800861,69.94243272335845,0.9697490158714239
2021-01-27,7736356.0,0.078447115489526,0.016842713552392957,0.0968399107531112,0,6977390.0,0.9018961898857808,0.9608611598814935,0.9249979710001703,0.9582397952554972,15,79.40728496104862,67.85498468673892,0.8545183822872623
2021-01-28,-7625622.0,-0.1021767459121045,-0.058448845870045556,-0.06494742973322726,0,-7070995.0,0.9272679658131494,-0.7935275540924493,-0.7272109807808509,-0.9827358715720762,9,70.28307463807488,86.28020063479809,1.2276099342423616
2021-02-01,-8633475.0,-0.1372772700254026,-0.17367479060812122,-0.09329647764130956,0,-9378202.0,1.0862603992019435,-1.074887044905101,-1.1978283607054165,-0.9770096424757343,15,69.41274873282826,91.50279532585695,1.3182419223600255
2021-02-02,-5588405.0,-0.10615813714861481,-0.02182230816341343,-0.12453181059188645,0,-5373043.0,0.9614627071588405,-0.7333729695679372,-0.6913186239345964,-0.9567362132965697,10,72.52042426745741,89.74636425845668,1.2375322561195934
2021-02-03,-5211471.0,-0.12209611293621782,-0.05030455897763517,-0.18949509194136793,0,-4908903.0,0.9419419200452234,-0.8550725544744768,-0.7909801822872081,-0.9608364610842555,12,68.14803404502965,87.10366275051831,1.2781537130324772
2021-02-04,-5402218.0,-0.14059535696975048,0.025067321417113174,-0.20841376245875798,1,-5520681.0,1.0219285856290878,-0.9925618727086523,-1.03431519720657,-0.9085337537772927,14,65.82923133968335,87.36805907189819,1.3271924537759374
2021-02-05,-2290661.0,-0.06555655636395805,-0.008043568171575824,-0.07258839409136911,0,-1652154.0,0.7212564408264689,-0.1520306275414559,0.030659516659309126,-0.8785823769698862,12,68.27801291488223,77.85819977917559,1.1403114480826553
2021-02-08,-3881086.0,-0.11636296236687514,-0.0866935612022156,-0.1520063426687056,0,-3896919.0,1.004079528255751,-0.6805606600945361,-0.712713714767779,-0.9738184282984722,10,64.84273450116387,81.92054440088181,1.2633727592011315
2021-02-09,1068102.0,0.035526785303267326,0.05585893106851058,-0.08739538748775393,1,1878218.0,1.758463143033156,0.8817637653384958,1.1109123820937483,0.9190819451418377,14,69.44108187199721,64.67632167089714,0.9313841306521823
2021-02-10,977063.0,0.018501063950872976,-0.02814746008708273,0.08102001445445889,1,2353465.0,2.4087136653419483,0.6267988476419996,0.8379046519461691,0.07203485124916552,15,79.30398051467445,76.422868129049,0.9636700154654616
2021-02-11,-2186538.0,-0.05684683459239149,-0.008818046252233362,-0.19805248726181346,0,-2599836.0,1.1890193538827132,-0.2034325279371003,-0.37141225231953817,-0.29507614301690294,15,69.6685948032494,78.06688943941926,1.120546347459532
2021-02-12,-1824416.0,-0.04655418603026363,0.10768505250332858,-0.02540271384457832,1,-4144420.0,2.2716419939312087,-0.03842349970316627,-0.7079181968847886,-0.9149084582761455,15,77.98115412710007,85.59637274339977,1.097654602596517
2021-02-16,-383738.0,-0.00905439735869012,0.005638181258845153,0.010773251547217016,0,279318.0,-0.727887256409321,0.39962856192224316,0.5117399122827789,-0.34967461849219306,15,68.54969803806353,69.80239284431822,1.0182742571026222
2021-02-17,1691849.0,0.03844154256593614,0.011909712584467885,-0.020210032400857572,1,2016222.0,1.191726921255975,0.8544047069029164,0.8569008743614349,0.9325182865886058,15,76.21859552922812,70.57560020546072,0.9259630109347338
2021-02-18,4358567.0,0.08513356760184018,0.0010337659472344745,0.14929081092846963,0,4359390.0,1.000188823528467,1.3656775368088783,1.2383852681597227,0.9763667160773039,15,88.6110010558921,74.70714465721787,0.8430910808703733
2021-02-22,1027893.0,0.018329051384086397,-0.031865667155153196,0.06124579168752914,1,4509407.0,4.3870393124576195,0.6844030042474156,1.2039033221889959,0.5477663522441363,11,89.22771958551554,86.01567441220955,0.9640017117076765
2021-02-23,2447257.0,0.025097745555624756,0.021057211858287767,-0.13152492343089084,1,4556249.0,1.8617779007272224,0.6972949689251324,0.7723279443379052,0.889065001194932,9,82.13538049417816,78.1134949916596,0.9510334586834521
2021-02-24,-8029716.0,-0.1259813794504457,-0.019141338930011402,-0.13541954235741277,0,-7399539.0,0.9215193912213084,-1.18476479257044,-1.0351075463163444,-0.9777755433169716,10,63.408435698740654,81.68786821952486,1.2882807676825758
2021-02-25,4663935.0,0.034189900258006126,-0.01222684212782374,0.0727946482893563,1,6053772.0,1.2979966487526091,0.7506610446339033,0.7017410425922219,0.9418591652290892,15,66.202680456879,61.82541272090775,0.9338808080615049
2021-02-26,-4156143.0,-0.030967586271247842,0.02455970732524244,0.022653227301615116,0,-2025791.0,0.48742090924205445,0.038674924676983635,0.1478120415438814,-0.9164543566094387,15,66.1115485110666,70.33703169003346,1.0639144487480812
2021-03-01,-10573655.0,-0.1167054617741767,-0.06431896893413842,-0.11739545782568843,0,-7125003.0,0.6738448530806046,-1.0151821408269486,-0.5677957108790153,-0.9524111932281774,11,72.92800473868866,92.1992582129676,1.2642503869855013
2021-03-02,1718693.0,0.024513474999555356,-0.07695647232985797,0.1328391726705025,1,2634472.0,1.532834543458314,0.9329882591216744,0.874686885760492,0.2422585983720764,10,72.64389648951061,69.16760382197555,0.952146115014122
2021-03-03,1928389.0,0.018456406077169103,-0.015476701545525872,0.0760788024961266,1,2726186.0,1.4137116525763216,0.770988082481028,0.6642308404014988,0.532758399197609,10,68.1281691439342,65.65893993095747,0.9637561196197715
2021-03-04,8594509.0,0.05122615632637779,0.023375005236189905,0.08919650923603739,0,6398550.0,0.7444927918511691,1.1239510860247162,0.7383238683410605,0.8175331796349868,13,67.20005288513562,60.650747783625114,0.9025401793551387
2021-03-05,-8387244.0,-0.06309030729238496,-0.046649571281840774,-0.1502917891700357,0,-7464243.0,0.889951812538183,-0.541148985018923,-0.5304142550722212,-0.8423166874964759,12,55.134705993799216,62.56010797373076,1.1346774567142273
2021-03-08,-2247931.0,-0.02106917043827797,-0.05352694689362971,0.049128775970906376,1,-904444.0,0.40234508977366296,0.0006704910872463622,0.03976006128289081,-0.8272710218896049,15,60.18731516505199,62.77809433583891,1.0430452689853702
2021-03-09,-10876210.0,-0.11280513999826668,-0.04245157578567418,-0.1511650906513567,0,-9050201.0,0.8321098066330092,-1.4825697107726101,-1.2566480755174816,-0.9201044472612806,11,70.87907096218223,88.90334924265022,1.2542961982400265
2021-03-10,-11426509.0,-0.11358904096897454,-0.056067701327207745,-0.18615224147382006,0,-9931130.0,0.8691307205026487,-1.4011101740201641,-1.2488407766954597,-0.9819707253698122,15,61.62159199909332,77.41457710796413,1.2562897938291369
2021-03-12,4500069.0,0.0799558955828261,0.13715904011916577,-0.009564055631626512,1,5365332.0,1.1922777184083178,1.4216733033473319,1.3951780947743528,0.846793645546671,10,74.1391692972741,63.1611956537649,0.8519274797982822
2021-03-15,-3499583.0,-0.056414727965187,-0.005148318602228198,-0.12204087743983402,0,-2138573.0,0.611093664588038,-0.6058864596258102,-0.42000375915970983,-0.8463106266324513,11,68.71459060194685,76.93115576237679,1.119575261795959
2021-03-16,403801.0,0.006213744112403552,-0.04823264816975664,0.13684370960332648,1,205329.0,0.5084905683740258,0.37007794428196805,0.16461866181582563,-0.6462756061273304,14,74.20930565107554,73.29276552473948,0.9876492561371544
2021-03-17,1529988.0,0.019109005767867573,0.17590737142116855,-0.10965698734971348,1,2938750.0,1.9207666988237817,0.5151179915046601,0.5977176954362294,0.5236318612875338,10,68.31036405373321,65.74862996381732,0.9624986028781691
2021-03-18,10177123.0,0.10359528290784709,0.002887161036488643,0.16814531761927268,0,14114137.0,1.386849407244071,1.6060049413692148,1.9461926894514079,0.81034716041125,13,89.47770245399279,72.67902989127295,0.8122585616080464
2021-03-22,-14287318.0,-0.23506801782824624,-0.1068358976326807,-0.2537862603679677,0,-12899219.0,0.9028439767351717,-2.5589552211555886,-2.4973808941050923,-0.9917163902122214,12,63.31463263171656,102.22853749945527,1.614611555816646
2021-03-23,3146677.0,0.03989283130330834,-0.028340662165808123,0.14440425770423618,1,5331483.0,1.6943216605962417,0.6766168866495258,0.7988391711898142,-0.23789279265887822,15,80.96334265115802,74.75143913012579,0.9232751104682388
2021-03-24,-5104058.0,-0.060193226079437785,-0.03631364126327124,0.06713053649099752,1,-1536384.0,0.30101225338740273,-0.43439477345380195,-0.1541733711193619,-0.9764686477296332,12,69.54269138737192,78.45090329010176,1.128097025366888
2021-03-25,-2225932.0,-0.022028481777178404,-0.03608978597356643,-0.058902017315050556,0,-1131064.0,0.5081305268983958,0.05437832745148044,-0.018543982702979883,-0.5749677202490892,11,69.51158292196035,72.6430332948338,1.045049331942118
2021-03-26,-14140677.0,-0.1452583637872499,-0.1656034958447998,-0.10106021392272482,0,-14750606.0,1.0431329419376456,-1.3094362369886179,-1.5558766969498878,-0.9906417824595357,11,73.37805213587781,98.31839747433771,1.3398883537038653
