date,strat_ret,bh_ret,cum_strat,cum_bh,drawdown,fold
2021-06-09,0.0,0.0045855951045041,1.0,1.0045855951045042,0.0,1
2021-06-10,0.0,0.0016668775168994,1.0,1.0062601162467848,0.0,1
2021-06-11,0.001718190060564,0.002218190060564,1.001718190060564,1.0084921924349854,0.0,1
2021-06-14,-0.0018397414430611,-0.0018397414430611,0.9998752875920415,1.0066368275535593,-0.0018397414430611138,1
2021-06-15,-0.0005,-0.0055903516235487,0.9993753499482455,1.0010093737303214,-0.0023388215723395295,1
2021-06-16,-0.0,-0.0003298194902475,0.9993753499482455,1.0006792213289448,-0.0023388215723395295,1
2021-06-17,-0.0,-0.0135914004931031,0.9993753499482455,0.9870785892667365,-0.0023388215723395295,1
2021-06-18,0.013725572222688899,0.0142255722226889,1.0130923484915353,1.0011203470278205,0.0,1
2021-06-21,-0.0005,0.0053364483802861,1.0125858023172896,1.0064627740821885,-0.0004999999999999585,1
2021-06-22,-0.0017114789094349,-0.0012114789094349,1.0108527830726304,1.0052434656582567,-0.0022106231699800683,1
2021-06-23,0.0058921457669474,0.0058921457669474,1.0168088750194189,1.0111665066891866,0.0,1
2021-06-24,-0.0005,0.0035587226169941,1.0163004705819092,1.0147649678060884,-0.0004999999999999489,1
2021-06-25,0.0,0.0019993508771988,1.0163004705819092,1.016793839034622,-0.0004999999999999489,1
2021-06-28,4.912141954909995e-05,0.0005491214195491,1.0163503927037125,1.0173521823109015,-0.0004509031411606987,1
2021-06-29,0.0008480495370072,0.0008480495370072,1.017212308183682,1.0182149473580835,0.0,1
2021-06-30,0.0055196559828906,0.0055196559828906,1.0228269701864179,1.023835143584137,0.0,1
2021-07-01,0.0076077926527593,0.0076077926527593,1.0306084256952461,1.0316242690671333,0.0,1
2021-07-02,-0.0005,-0.0018225708212456,1.0300931214823985,1.0297440607758428,-0.0004999999999999996,1
2021-07-06,0.0,0.0035190074826567,1.0300931214823985,1.0333677378309343,-0.0004999999999999996,1
2021-07-07,-0.0,-0.0081643174099968,1.0300931214823985,1.0249309956180321,-0.0004999999999999996,1
2021-07-08,0.0101178247009372,0.0106178247009372,1.0405154231111986,1.0358135332600615,0.0,1
2021-07-09,-0.0005,0.003571345005743,1.039995165399643,1.039512780748951,-0.0004999999999999095,1
2021-07-12,-0.0,-0.0034243258194744,1.039995165399643,1.0359531502941588,-0.0004999999999999095,1
2021-07-13,0.0009934694105234,0.0014934694105234,1.0410283687835598,1.0375003146348585,0.0,1
2021-07-14,-0.0034309554548123,-0.0034309554548123,1.0374566468230675,1.0339406972709926,-0.0034309554548122654,1
2021-07-15,-0.0005,-0.0078619275945245,1.036937918499656,1.025811930372016,-0.0039292399770847085,1
2021-07-16,-0.0,-0.0148815608559056,1.036937918499656,1.0105462477034708,-0.0039292399770847085,1
2021-07-19,0.013738044263146499,0.0142380442631465,1.0511834175221393,1.0249344499082294,0.0,1
2021-07-20,-0.0005,0.0080634660825589,1.0506578258133783,1.0331989740819105,-0.0004999999999999206,1
2021-07-21,0.0,0.002085404158657,1.0506578258133783,1.0353536115191813,-0.0004999999999999206,1
2021-07-22,0.0,0.0102409946045682,1.0506578258133783,1.0459566622685694,-0.0004999999999999206,1
2021-07-23,0.0019471512606120999,0.0024471512606121,1.0527036155233829,1.0485162764331857,0.0,1
2021-07-26,-0.0045599050608242,-0.0045599050608242,1.0479033869794099,1.0437351417579215,-0.004559905060824189,1
2021-07-27,-0.0005,-0.000413358789152,1.0473794352859203,1.043303704663529,-0.005057625108293698,1
2021-07-28,0.0,0.0041259190146844,1.0473794352859203,1.047608291256691,-0.005057625108293698,1
2021-07-29,-0.0,-0.00485579277893,1.0473794352859203,1.0425213224808596,-0.005057625108293698,1
2021-07-30,-0.0,-0.0020952620651126,1.0473794352859203,1.0403369671017946,-0.005057625108293698,1
2021-08-02,0.007588752702255499,0.0080887527022555,1.0553277388057332,1.0487519955556954,0.0,1
2021-08-03,-0.0049231913376947,-0.0049231913376947,1.0501321584236158,1.0435887888157855,-0.0049231913376946955,1
2021-08-04,0.0063012180767292,0.0063012180767292,1.0567492701632295,1.0501646693565436,0.0,1
2021-08-05,-0.0005,0.0016656009064681,1.056220895528148,1.0519138245817647,-0.0004999999999998777,1
2021-08-06,-0.0,-0.0008203841788177,1.056220895528148,1.0510508511225982,-0.0004999999999998777,1
2021-08-09,0.0,0.0012303240198592,1.056220895528148,1.0523439842308278,-0.0004999999999998777,1
2021-08-10,0.0020042151300138,0.0025042151300138,1.0583377894276023,1.0549792799581177,0.0,1
2021-08-11,-0.0005,0.0029776220252071,1.0578086205328885,1.058120609498258,-0.0004999999999999723,1
2021-08-12,0.0013206214304536,0.0018206214304536,1.0592055852664828,1.0600470465559153,0.0,1
2021-08-13,0.0023427612254784,0.0023427612254784,1.0616870510414553,1.0625304836737695,0.0,1
2021-08-16,-0.0065639983661451,-0.0065639983661451,1.0547181389730618,1.0555560353149556,-0.006563998366145138,1
2021-08-17,-0.0109961594718113,-0.0109961594718113,1.043120290119102,1.0439489728191995,-0.017487979065149643,1
2021-08-18,0.0015297762954198,0.0015297762954198,1.0447160308121977,1.0455459812114463,-0.015984955465558382,1
2021-08-19,-0.0005,0.0079269591941171,1.0441936727967915,1.0538339815400826,-0.016476962987825625,1
2021-08-20,0.0082717758368017,0.0087717758368017,1.0528310087883732,1.0630779769953564,-0.008341480895330539,1
2021-08-23,-0.0005,0.0015736394845111,1.0523045932839792,1.0647508784750706,-0.008837310154882726,1
2021-08-24,0.0015943412862569001,0.0020943412862569,1.0539823259427696,1.0669808301994392,-0.007257058557065184,1
2021-08-25,-0.0059135085770496,-0.0059135085770496,1.0477495924182483,1.0606712299085073,-0.013127652456093528,1
2021-08-26,-0.0005,0.0089046087299309,1.0472257176220392,1.070116092201937,-0.013621088629865438,1
2021-08-27,0.0,0.0043755465322849,1.0472257176220392,1.0747984349583135,-0.013621088629865438,1
2021-08-30,-0.0019642674195299997,-0.00146426741953,1.0451686862640202,1.0732246426274423,-0.015558600588781404,1
2021-08-31,-0.0005,0.0005198242166106,1.0446461019208881,1.0737825307865434,-0.01605082128848702,1
2021-09-01,0.0025661847693158,0.0030661847693158,1.0473268568369625,1.0770749464279985,-0.013525825892296903,1
2021-09-02,-0.0002355268747051,-0.0002355268747051,1.047080183215577,1.0768212663320431,-0.013758167071501789,1
2021-09-03,-0.0005,-0.0035868552036091,1.0465566431239692,1.0729588643695431,-0.014251287987965964,1
2021-09-07,-0.0,-0.0012063726315518,1.0465566431239692,1.0716644761607867,-0.014251287987965964,1
2021-09-08,-0.0,-0.0042932263905593,1.0465566431239692,1.0670635779499085,-0.014251287987965964,1
2021-09-09,-0.008423101849228001,-0.007923101849228,1.03774138992795,1.0586091245422098,-0.022554349786988576,1
2021-09-10,-0.0005,0.002560391918119,1.037222519232986,1.0613195787891347,-0.023043072612095036,1
2021-09-13,-0.0,-0.0054156514909265,1.037222519232986,1.0555718418299158,-0.023043072612095036,1
2021-09-14,0.0078270006419154,0.0083270006419154,1.0453408605568317,1.0643615892344214,-0.015396430114306196,1
2021-09-15,-0.0015978063376657,-0.0015978063376657,1.043670608304813,1.0626609455415748,-0.01696963593835787,1
2021-09-16,-0.0005,-0.0097854240472145,1.0431487730006608,1.0522623575710366,-0.01746115112038858,1
2021-09-17,-0.0,-0.0168189649417986,1.0431487730006608,1.034564393869475,-0.01746115112038858,1
2021-09-20,-0.001431829395528,-0.000931829395528,1.0416551619235694,1.0336003563557008,-0.018867979126462677,1
2021-09-21,0.0096925770100609,0.0096925770100609,1.051751484798441,1.0436186074073048,-0.009358281457109277,1
2021-09-22,0.0120751080788342,0.0120751080788342,1.0644514976494566,1.0562204148848304,0.0,1
2021-09-23,-0.0005,0.0016549742939113,1.0639192719006318,1.0579684325201693,-0.0004999999999999938,1
2021-09-24,-0.0,-0.0028559448223314,1.0639192719006318,1.0549469330531231,-0.0004999999999999938,1
2021-09-27,-0.0,-0.020370467779519,1.0639192719006318,1.0334571705442621,-0.0004999999999999938,1
2021-09-28,0.0011910318095907,0.0016910318095907,1.0651864335963022,1.035204779493502,0.0,1
2021-09-29,-0.0005,-0.0122942775730631,1.064653840379504,1.0224776845894472,-0.0004999999999999569,1
