game_date,game_pk,game_year,game_type,batter,pitcher,player_name,stand,p_throws,home_team,away_team,inning,inning_topbot,at_bat_number,pitch_number,balls,strikes,outs_when_up,pitch_type,pitch_name,release_speed,release_spin_rate,release_extension,effective_speed,plate_x,plate_z,zone,pfx_x,pfx_z,description,events,bb_type,hit_location,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,babip_value,iso_value,delta_run_exp,delta_home_win_exp,bat_speed,swing_length,attack_angle,swing_path_tilt,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,sz_top,sz_bot
2026-08-02,824323,2026,R,694249,607625,"Carrigg, Cole",L,R,COL,KC,3,Bot,26,2,1,0,1,SI,Sinker,90.4,2322.0,5.9,90.8,-0.9981790492845009,2.493199897327623,11.0,-1.04,0.43,ball,,,,,,,,,,,,,,0.077,0.005,,,,,2,1,3.284949147,1.657824803
2026-08-02,824648,2026,R,700250,607067,"Rice, Ben",L,R,CHC,NYY,3,Top,18,1,0,0,1,CU,Curveball,81.8,2032.0,6.4,82.4,-0.0140540180673847,1.5139559337033104,13.0,0.52,-0.43,ball,,,,,,,,,,,,,,0.034,-0.003,,,,,2,1,3.280561024,1.655610236
2026-08-02,824483,2026,R,663886,656605,"Stephenson, Tyler",R,R,CIN,PIT,2,Bot,19,4,1,2,2,ST,Sweeper,79.4,2667.0,6.7,79.8,1.3246732258169638,1.9791480947007123,14.0,1.66,-0.04,foul,,,,64.9,39.0,181.0,,,,,,,,0.0,0.0,65.1,7.6,12.246727790205329,35.28059487467904,2,1,3.359547244,1.695472441
2026-08-02,822943,2026,R,656775,641743,"Mullins, Cedric",L,L,TB,CWS,5,Bot,38,3,1,1,0,FF,4-Seam Fastball,95.9,2383.0,5.6,94.7,0.533375478538446,3.3452664618519234,12.0,0.65,1.45,swinging_strike,,,,,,,,,,,,,,-0.062,-0.007,70.6,6.6,13.905720639466947,22.21676748186333,2,1,3.004986877,1.516535433
2026-08-02,824163,2026,R,666211,677958,"Trammell, Taylor",L,R,HOU,TEX,3,Bot,23,4,3,0,2,SL,Slider,83.1,2239.0,6.9,84.1,0.1089734919346948,1.6954586139230965,8.0,0.17,-0.48,ball,walk,,,,,,,,,0.697819,0.7,0.0,0.0,0.031,0.005,,,,,2,1,3.26300853,1.646751969
2026-08-02,823270,2026,R,630105,694738,"Cronenworth, Jake",L,R,SD,SF,2,Bot,19,4,2,1,2,FC,Cutter,91.2,2294.0,6.5,92.0,1.423651137728562,2.5819028943594518,12.0,0.1,0.57,ball,,,,,,,,,,,,,,0.12,0.021,,,,,2,1,3.171735564,1.600688976
2026-08-02,824483,2026,R,699013,695505,"Valdez, Esmerlyn",R,R,CIN,PIT,4,Top,33,2,0,1,1,SL,Slider,87.8,2606.0,6.4,87.9,1.1549396051577407,0.3501839980861954,14.0,0.42,0.13,blocked_ball,,,,,,,,,,,,,,0.028,-0.001,,,,,2,1,3.311277887,1.671112205
2026-08-02,824648,2026,R,673548,543037,"Suzuki, Seiya",R,R,CHC,NYY,4,Bot,27,4,1,2,0,FF,4-Seam Fastball,97.2,2239.0,6.4,97.1,1.137649031773257,2.797816255997246,12.0,-0.65,1.37,ball,,,,,,,,,,,,,,0.047,0.005,,,,,2,1,3.177878937,1.60378937
2026-08-02,823996,2026,R,669003,700712,"Mitchell, Garrett",L,R,LAA,MIL,3,Top,20,5,1,2,2,CH,Changeup,92.3,1728.0,6.4,92.2,-0.0748878670405546,2.5809200753396864,5.0,-1.2,0.55,hit_into_play,field_out,ground_ball,1.0,59.6,-82.0,0.0,127.77,186.39,0.221,0.199,0.0,0.0,0.0,-0.211,0.033,81.9,7.8,16.31938212992885,26.220750178365027,2,1,3.292847769,1.661811024
2026-08-02,824971,2026,R,805808,695611,"McGonigle, Kevin",L,L,ATH,DET,3,Top,20,7,3,2,0,FF,4-Seam Fastball,95.6,2364.0,6.2,95.3,0.0052732375092654,3.0948609061379955,2.0,0.62,1.31,hit_into_play,field_out,fly_ball,7.0,91.2,31.0,323.0,42.38,98.09,0.071,0.114,0.0,0.0,0.0,-0.348,0.022,66.6,6.1,9.187533821907891,26.04240610755973,2,1,3.085728346,1.557283465
