dt,WVHT,DPD,APD,MWD,WTMP
2025-05-12T18:26:00Z,1.7,7,5.4,107,24.8
2025-05-12T17:56:00Z,1.7,7,5.2,108,24.8
2025-05-12T17:26:00Z,1.8,6,5.2,115,24.8
2025-05-12T16:56:00Z,1.8,7,5.4,103,24.8
2025-05-12T16:26:00Z,1.7,7,5.2,108,24.8
2025-05-12T15:56:00Z,1.6,7,5.5,107,24.8
2025-05-12T15:26:00Z,1.5,7,5.3,104,24.8
2025-05-12T14:56:00Z,1.6,6,5.2,121,24.8
2025-05-12T14:26:00Z,1.8,7,5.2,103,24.8
2025-05-12T13:56:00Z,1.7,7,5.1,104,24.9
2025-05-12T13:26:00Z,1.7,7,4.8,108,24.9
2025-05-12T12:56:00Z,1.7,6,4.9,106,24.9
2025-05-12T12:26:00Z,1.6,6,4.8,114,24.9
2025-05-12T11:56:00Z,1.5,6,4.8,111,24.9
2025-05-12T11:26:00Z,1.6,6,4.8,114,24.9
2025-05-12T10:56:00Z,1.7,6,5,104,24.9
2025-05-12T10:26:00Z,1.6,7,5,108,24.9
2025-05-12T09:56:00Z,1.7,6,4.9,118,24.9
2025-05-12T09:26:00Z,1.7,6,4.7,113,24.9
2025-05-12T08:56:00Z,1.6,6,4.6,120,24.9
2025-05-12T08:26:00Z,1.7,6,4.8,115,24.9
2025-05-12T07:56:00Z,1.8,6,4.8,111,25
2025-05-12T07:26:00Z,1.7,6,4.7,114,25
2025-05-12T06:56:00Z,1.7,6,4.8,128,25
2025-05-12T06:26:00Z,1.8,6,4.8,121,25
2025-05-12T05:56:00Z,1.6,6,4.7,117,25
2025-05-12T05:26:00Z,1.6,5,4.7,127,25.1
2025-05-12T04:56:00Z,1.6,5,4.8,120,25.1
2025-05-12T04:26:00Z,1.3,6,4.6,117,25.1
2025-05-12T03:56:00Z,1.3,7,4.7,108,25.1
2025-05-12T03:26:00Z,1.2,7,4.6,111,25.1
2025-05-12T02:56:00Z,1.3,7,4.7,110,25.1
2025-05-12T02:26:00Z,1.2,9,4.7,80,25.1
2025-05-12T01:56:00Z,1.2,9,4.5,83,25.1
2025-05-12T01:26:00Z,1.2,6,4.5,111,25.1
2025-05-12T00:56:00Z,1.3,6,4.6,120,25.2
2025-05-12T00:26:00Z,1.2,6,4.4,121,25.2
2025-05-11T23:56:00Z,1.3,5,4.7,114,25.2
2025-05-11T23:26:00Z,1.2,6,4.5,110,25.2
2025-05-11T22:56:00Z,1.3,5,4.7,117,25.2
2025-05-11T22:26:00Z,1.3,6,4.7,117,25.2
2025-05-11T21:56:00Z,1.2,6,4.6,106,25.2
2025-05-11T21:26:00Z,1.4,8,4.7,86,25.2
2025-05-11T20:56:00Z,1.4,6,4.8,113,25.2
2025-05-11T20:26:00Z,1.4,6,4.9,113,25.2
2025-05-11T19:56:00Z,1.3,5,4.7,120,25.2
2025-05-11T19:26:00Z,1.3,6,4.8,120,25.2
2025-05-11T18:56:00Z,1.4,6,4.9,113,25.2
2025-05-11T18:26:00Z,1.3,6,5,104,25.2
2025-05-11T17:56:00Z,1.2,6,4.9,121,25.2
2025-05-11T17:26:00Z,1.2,6,4.9,120,25.2
2025-05-11T16:56:00Z,1.1,6,4.8,118,25.2
2025-05-11T16:26:00Z,1.1,6,4.8,125,25.1
2025-05-11T15:56:00Z,1.2,6,4.9,128,25.1
2025-05-11T15:26:00Z,1.1,5,4.8,127,25.1
2025-05-11T14:56:00Z,1.2,5,4.8,129,25.1
2025-05-11T14:26:00Z,1.2,5,4.9,113,25.1
